,stundent response
0,"Proponents: 
Ensuring only citizens vote 
accountability and verification
public confidence/political legitimacy 
consistency with existing laws

Opponents: 
Disenfranchisement of eligible voters
A solution in search of a problem
Administrative and logistical burdens
Elimination of registration mechanisms "
1,"The SAVE Act requires all voter registration applicants to provide documentary proof of U.S. citizenship. It is deeply rooted in voter fraud and noncitizens from voting in elections. About 9% of voting age Americans can be affected by this. Some worry that the standards are too vague, which will result in more problems. "
2,A bill that would require all Americans to provide documentary proof of U.S. citizenship to register to vote in federal elections. 
3,"Proponents want voters to have id, opponents do not."
4,"Trump wrote the safe act in order to stop immigrants and women from voting. They are making sure birth certificates and drivers license names match (not allowing women to vote). It is allowing Trump to focus on U.S. citizen voting, along with male voting. "
5,Yes
6,"Having in person voting with proof of citizenship is meant to help fair elections, but it may hinder the ability for disabled or elderly people from being able to vote. "
7,"Safeguard against voting fraud and protecting citizens from illegals and cartels from participating in elections
Stopping actual American citizens (like minorities and women) from voting, only a few (not even 1%) of voters are noncitizens "
8,There is a good range of them 
9,The proponents of the SAVE Act want laws passed to require proof of identity. Forcing proof of identity would theoretically cut down on fraudulent votes. Opponents say that the SAVE Act will only suppress legal votes from voters who don't have the time to get their information and or documentation updated.
10,"Pro: keeps ineligible voters from voting
Con: makes it significantly harder/impossible for tons of eligible voters to vote"
11,"Supporters of the SAVE Act say it protects elections by making sure only U.S. citizens can vote. They believe it will boost trust and stop voter fraud. Opponents argue it targets a problem that barely exists and could block millions of eligible voters. They say it unfairly burdens low-income people, women, and election workers.
"
12,"Proponents of the SAVE act are convinced that noncitizen voters are skewing our election results. Due to this, extra documentation is now required for anyone who tries to vote in an attempt to 'crack down' on 'illegal immigrants' voting in elections. 

Opponents of the SAVE act have reasonably pointed out that there are already multiple safeguards to only allow citizens to participate in elections. They've even gone to show that the safeguards we have in place are working, since there's an estimated 0.0001% of our votes cast by noncitizens. This is not an actual issue that we're facing, it's just another way to impose control, and restrict immigrants & women. "
13,election integrity public confidence
