,response,category,billie,claude,chatgpt,ryan
0,- require proof of citizenship to vote - ensure only americans vote in elections - support for spend,proponent save act - election integrity,1,1,1,
1,- require proof of citizenship to vote - ensure only americans vote in elections - support for spend,proponent save act - accountability,1,1,1,
2,- require proof of citizenship to vote - ensure only americans vote in elections - support for spend,proponent save act - public confidence in elections,0,0,0,
3,- require proof of citizenship to vote - ensure only americans vote in elections - support for spend,proponent save act - other valid,0,0,0,
4,- require proof of citizenship to vote - ensure only americans vote in elections - support for spend,proponent save act - invalid,0,1,1,
5,- require proof of citizenship to vote - ensure only americans vote in elections - support for spend,opponent save act - voting disenfranchisement,1,1,1,
6,- require proof of citizenship to vote - ensure only americans vote in elections - support for spend,opponent save act - lack of serious problem,0,0,0,
7,- require proof of citizenship to vote - ensure only americans vote in elections - support for spend,opponent save act - unequal burden,1,1,1,
8,- require proof of citizenship to vote - ensure only americans vote in elections - support for spend,opponent save act - administrative burden,0,0,0,
9,- require proof of citizenship to vote - ensure only americans vote in elections - support for spend,opponent save act - other valid,0,0,0,
10,- require proof of citizenship to vote - ensure only americans vote in elections - support for spend,opponent save act - invalid,0,0,0,
11,a bill that would require all americans to provide documentary proof of u.s. citizenship to register,proponent save act - election integrity,0,0,0,
12,a bill that would require all americans to provide documentary proof of u.s. citizenship to register,proponent save act - accountability,1,0,1,
13,a bill that would require all americans to provide documentary proof of u.s. citizenship to register,proponent save act - public confidence in elections,0,0,0,
14,a bill that would require all americans to provide documentary proof of u.s. citizenship to register,proponent save act - other valid,0,0,0,
15,a bill that would require all americans to provide documentary proof of u.s. citizenship to register,proponent save act - invalid,0,0,0,
16,a bill that would require all americans to provide documentary proof of u.s. citizenship to register,opponent save act - voting disenfranchisement,0,0,0,
17,a bill that would require all americans to provide documentary proof of u.s. citizenship to register,opponent save act - lack of serious problem,0,0,0,
18,a bill that would require all americans to provide documentary proof of u.s. citizenship to register,opponent save act - unequal burden,0,0,0,
19,a bill that would require all americans to provide documentary proof of u.s. citizenship to register,opponent save act - administrative burden,0,0,0,
20,a bill that would require all americans to provide documentary proof of u.s. citizenship to register,opponent save act - other valid,0,0,0,
21,a bill that would require all americans to provide documentary proof of u.s. citizenship to register,opponent save act - invalid,0,0,0,
22,all voters must show proof that they are a citizen to vote.,proponent save act - election integrity,0,0,0,
23,all voters must show proof that they are a citizen to vote.,proponent save act - accountability,1,0,1,
24,all voters must show proof that they are a citizen to vote.,proponent save act - public confidence in elections,0,0,0,
25,all voters must show proof that they are a citizen to vote.,proponent save act - other valid,0,0,0,
26,all voters must show proof that they are a citizen to vote.,proponent save act - invalid,0,0,0,
27,all voters must show proof that they are a citizen to vote.,opponent save act - voting disenfranchisement,0,0,0,
28,all voters must show proof that they are a citizen to vote.,opponent save act - lack of serious problem,0,0,0,
29,all voters must show proof that they are a citizen to vote.,opponent save act - unequal burden,0,0,0,
30,all voters must show proof that they are a citizen to vote.,opponent save act - administrative burden,0,0,0,
31,all voters must show proof that they are a citizen to vote.,opponent save act - other valid,0,0,0,
32,all voters must show proof that they are a citizen to vote.,opponent save act - invalid,0,0,0,
33,an act to provide proof of eligible u.s i.d's to ensure a legit vote.,proponent save act - election integrity,0,1,1,
34,an act to provide proof of eligible u.s i.d's to ensure a legit vote.,proponent save act - accountability,1,1,1,
35,an act to provide proof of eligible u.s i.d's to ensure a legit vote.,proponent save act - public confidence in elections,0,0,0,
36,an act to provide proof of eligible u.s i.d's to ensure a legit vote.,proponent save act - other valid,0,0,0,
37,an act to provide proof of eligible u.s i.d's to ensure a legit vote.,proponent save act - invalid,0,0,0,
38,an act to provide proof of eligible u.s i.d's to ensure a legit vote.,opponent save act - voting disenfranchisement,0,0,0,
39,an act to provide proof of eligible u.s i.d's to ensure a legit vote.,opponent save act - lack of serious problem,0,0,0,
40,an act to provide proof of eligible u.s i.d's to ensure a legit vote.,opponent save act - unequal burden,0,0,0,
41,an act to provide proof of eligible u.s i.d's to ensure a legit vote.,opponent save act - administrative burden,0,0,0,
42,an act to provide proof of eligible u.s i.d's to ensure a legit vote.,opponent save act - other valid,0,0,0,
43,an act to provide proof of eligible u.s i.d's to ensure a legit vote.,opponent save act - invalid,0,0,0,
44,election integrity public confidence,proponent save act - election integrity,1,1,1,0
45,election integrity public confidence,proponent save act - accountability,0,0,0,0
46,election integrity public confidence,proponent save act - public confidence in elections,0,1,1,0
47,election integrity public confidence,proponent save act - other valid,0,0,0,0
48,election integrity public confidence,proponent save act - invalid,0,0,0,0
49,election integrity public confidence,opponent save act - voting disenfranchisement,0,0,0,0
50,election integrity public confidence,opponent save act - lack of serious problem,0,0,0,0
51,election integrity public confidence,opponent save act - unequal burden,0,0,0,0
52,election integrity public confidence,opponent save act - administrative burden,0,0,0,0
53,election integrity public confidence,opponent save act - other valid,,0,0,0
54,election integrity public confidence,opponent save act - invalid,0,0,0,0
55,"federal bill that would require voters to provide documentary proof of u.s. citizenship, such as a b",proponent save act - election integrity,0,0,0,
56,"federal bill that would require voters to provide documentary proof of u.s. citizenship, such as a b",proponent save act - accountability,1,0,1,
57,"federal bill that would require voters to provide documentary proof of u.s. citizenship, such as a b",proponent save act - public confidence in elections,0,0,0,
58,"federal bill that would require voters to provide documentary proof of u.s. citizenship, such as a b",proponent save act - other valid,0,0,0,
59,"federal bill that would require voters to provide documentary proof of u.s. citizenship, such as a b",proponent save act - invalid,0,0,0,
60,"federal bill that would require voters to provide documentary proof of u.s. citizenship, such as a b",opponent save act - voting disenfranchisement,0,0,0,
61,"federal bill that would require voters to provide documentary proof of u.s. citizenship, such as a b",opponent save act - lack of serious problem,0,0,0,
62,"federal bill that would require voters to provide documentary proof of u.s. citizenship, such as a b",opponent save act - unequal burden,0,0,0,
63,"federal bill that would require voters to provide documentary proof of u.s. citizenship, such as a b",opponent save act - administrative burden,0,0,0,
64,"federal bill that would require voters to provide documentary proof of u.s. citizenship, such as a b",opponent save act - other valid,0,0,0,
65,"federal bill that would require voters to provide documentary proof of u.s. citizenship, such as a b",opponent save act - invalid,0,0,0,
66,"having in person voting with proof of citizenship is meant to help fair elections, but it may hinder",proponent save act - election integrity,1,1,1,
67,"having in person voting with proof of citizenship is meant to help fair elections, but it may hinder",proponent save act - accountability,1,1,1,
68,"having in person voting with proof of citizenship is meant to help fair elections, but it may hinder",proponent save act - public confidence in elections,0,0,0,
69,"having in person voting with proof of citizenship is meant to help fair elections, but it may hinder",proponent save act - other valid,0,0,0,
70,"having in person voting with proof of citizenship is meant to help fair elections, but it may hinder",proponent save act - invalid,0,0,0,
71,"having in person voting with proof of citizenship is meant to help fair elections, but it may hinder",opponent save act - voting disenfranchisement,0,0,0,
72,"having in person voting with proof of citizenship is meant to help fair elections, but it may hinder",opponent save act - lack of serious problem,0,0,0,
73,"having in person voting with proof of citizenship is meant to help fair elections, but it may hinder",opponent save act - unequal burden,1,1,1,
74,"having in person voting with proof of citizenship is meant to help fair elections, but it may hinder",opponent save act - administrative burden,0,0,0,
75,"having in person voting with proof of citizenship is meant to help fair elections, but it may hinder",opponent save act - other valid,0,0,0,
76,"having in person voting with proof of citizenship is meant to help fair elections, but it may hinder",opponent save act - invalid,0,0,0,
77,how the save act will change and underwhelm voters and how voting works in american. forcing legals ,proponent save act - election integrity,1,0,0,
78,how the save act will change and underwhelm voters and how voting works in american. forcing legals ,proponent save act - accountability,1,0,1,
79,how the save act will change and underwhelm voters and how voting works in american. forcing legals ,proponent save act - public confidence in elections,0,0,0,
80,how the save act will change and underwhelm voters and how voting works in american. forcing legals ,proponent save act - other valid,0,0,0,
81,how the save act will change and underwhelm voters and how voting works in american. forcing legals ,proponent save act - invalid,0,0,0,
82,how the save act will change and underwhelm voters and how voting works in american. forcing legals ,opponent save act - voting disenfranchisement,0,1,0,
83,how the save act will change and underwhelm voters and how voting works in american. forcing legals ,opponent save act - lack of serious problem,0,0,0,
84,how the save act will change and underwhelm voters and how voting works in american. forcing legals ,opponent save act - unequal burden,1,1,1,
85,how the save act will change and underwhelm voters and how voting works in american. forcing legals ,opponent save act - administrative burden,0,0,0,
86,how the save act will change and underwhelm voters and how voting works in american. forcing legals ,opponent save act - other valid,0,0,0,
87,how the save act will change and underwhelm voters and how voting works in american. forcing legals ,opponent save act - invalid,0,0,0,
88,i am fully aware of the strict legal boundaries placed on my status. voting illegally would risk ser,proponent save act - election integrity,1,0,0,
89,i am fully aware of the strict legal boundaries placed on my status. voting illegally would risk ser,proponent save act - accountability,0,0,0,
90,i am fully aware of the strict legal boundaries placed on my status. voting illegally would risk ser,proponent save act - public confidence in elections,0,0,0,
91,i am fully aware of the strict legal boundaries placed on my status. voting illegally would risk ser,proponent save act - other valid,0,0,0,
92,i am fully aware of the strict legal boundaries placed on my status. voting illegally would risk ser,proponent save act - invalid,0,0,0,
93,i am fully aware of the strict legal boundaries placed on my status. voting illegally would risk ser,opponent save act - voting disenfranchisement,0,0,0,
94,i am fully aware of the strict legal boundaries placed on my status. voting illegally would risk ser,opponent save act - lack of serious problem,1,1,1,
95,i am fully aware of the strict legal boundaries placed on my status. voting illegally would risk ser,opponent save act - unequal burden,0,0,0,
96,i am fully aware of the strict legal boundaries placed on my status. voting illegally would risk ser,opponent save act - administrative burden,0,0,0,
97,i am fully aware of the strict legal boundaries placed on my status. voting illegally would risk ser,opponent save act - other valid,0,1,1,
98,i am fully aware of the strict legal boundaries placed on my status. voting illegally would risk ser,opponent save act - invalid,0,0,0,
99,i am still in the middle,proponent save act - election integrity,0,0,0,
100,i am still in the middle,proponent save act - accountability,0,0,0,
101,i am still in the middle,proponent save act - public confidence in elections,0,0,0,
102,i am still in the middle,proponent save act - other valid,0,0,0,
103,i am still in the middle,proponent save act - invalid,0,0,0,
104,i am still in the middle,opponent save act - voting disenfranchisement,0,0,0,
105,i am still in the middle,opponent save act - lack of serious problem,0,0,0,
106,i am still in the middle,opponent save act - unequal burden,0,0,0,
107,i am still in the middle,opponent save act - administrative burden,0,0,0,
108,i am still in the middle,opponent save act - other valid,0,0,0,
109,i am still in the middle,opponent save act - invalid,0,0,0,
110,i learned its about fighting for a bill which was passed in april,proponent save act - election integrity,1,0,0,
111,i learned its about fighting for a bill which was passed in april,proponent save act - accountability,1,0,0,
112,i learned its about fighting for a bill which was passed in april,proponent save act - public confidence in elections,1,0,0,
113,i learned its about fighting for a bill which was passed in april,proponent save act - other valid,1,0,0,
114,i learned its about fighting for a bill which was passed in april,proponent save act - invalid,1,0,0,
115,i learned its about fighting for a bill which was passed in april,opponent save act - voting disenfranchisement,1,0,0,
116,i learned its about fighting for a bill which was passed in april,opponent save act - lack of serious problem,1,0,0,
117,i learned its about fighting for a bill which was passed in april,opponent save act - unequal burden,1,0,0,
118,i learned its about fighting for a bill which was passed in april,opponent save act - administrative burden,1,0,0,
119,i learned its about fighting for a bill which was passed in april,opponent save act - other valid,1,0,0,
120,i learned its about fighting for a bill which was passed in april,opponent save act - invalid,1,0,0,
121,"in short, it is a bill on voter registration, specifically requiring more voter identification. peop",proponent save act - election integrity,1,1,1,
122,"in short, it is a bill on voter registration, specifically requiring more voter identification. peop",proponent save act - accountability,1,0,0,
123,"in short, it is a bill on voter registration, specifically requiring more voter identification. peop",proponent save act - public confidence in elections,0,0,0,
124,"in short, it is a bill on voter registration, specifically requiring more voter identification. peop",proponent save act - other valid,0,0,0,
125,"in short, it is a bill on voter registration, specifically requiring more voter identification. peop",proponent save act - invalid,0,0,0,
126,"in short, it is a bill on voter registration, specifically requiring more voter identification. peop",opponent save act - voting disenfranchisement,1,1,1,
127,"in short, it is a bill on voter registration, specifically requiring more voter identification. peop",opponent save act - lack of serious problem,0,0,0,
128,"in short, it is a bill on voter registration, specifically requiring more voter identification. peop",opponent save act - unequal burden,0,0,0,
129,"in short, it is a bill on voter registration, specifically requiring more voter identification. peop",opponent save act - administrative burden,0,0,0,
130,"in short, it is a bill on voter registration, specifically requiring more voter identification. peop",opponent save act - other valid,0,1,1,
131,"in short, it is a bill on voter registration, specifically requiring more voter identification. peop",opponent save act - invalid,0,0,0,
132,it is about whether people from other countries should be allowed to vote in our elections. one side,proponent save act - election integrity,1,1,1,
133,it is about whether people from other countries should be allowed to vote in our elections. one side,proponent save act - accountability,0,0,0,
134,it is about whether people from other countries should be allowed to vote in our elections. one side,proponent save act - public confidence in elections,0,0,0,
135,it is about whether people from other countries should be allowed to vote in our elections. one side,proponent save act - other valid,0,0,0,
136,it is about whether people from other countries should be allowed to vote in our elections. one side,proponent save act - invalid,0,0,0,
137,it is about whether people from other countries should be allowed to vote in our elections. one side,opponent save act - voting disenfranchisement,1,1,1,
138,it is about whether people from other countries should be allowed to vote in our elections. one side,opponent save act - lack of serious problem,0,0,0,
139,it is about whether people from other countries should be allowed to vote in our elections. one side,opponent save act - unequal burden,0,0,0,
140,it is about whether people from other countries should be allowed to vote in our elections. one side,opponent save act - administrative burden,0,0,0,
141,it is about whether people from other countries should be allowed to vote in our elections. one side,opponent save act - other valid,0,0,0,
142,it is about whether people from other countries should be allowed to vote in our elections. one side,opponent save act - invalid,0,0,0,
143,it is meant to keep non citizens from voting but ends up preventing many citizens from voting,proponent save act - election integrity,0,1,1,
144,it is meant to keep non citizens from voting but ends up preventing many citizens from voting,proponent save act - accountability,0,0,0,
145,it is meant to keep non citizens from voting but ends up preventing many citizens from voting,proponent save act - public confidence in elections,0,0,0,
146,it is meant to keep non citizens from voting but ends up preventing many citizens from voting,proponent save act - other valid,0,0,0,
147,it is meant to keep non citizens from voting but ends up preventing many citizens from voting,proponent save act - invalid,0,0,0,
148,it is meant to keep non citizens from voting but ends up preventing many citizens from voting,opponent save act - voting disenfranchisement,1,1,1,
149,it is meant to keep non citizens from voting but ends up preventing many citizens from voting,opponent save act - lack of serious problem,0,0,0,
150,it is meant to keep non citizens from voting but ends up preventing many citizens from voting,opponent save act - unequal burden,0,0,0,
151,it is meant to keep non citizens from voting but ends up preventing many citizens from voting,opponent save act - administrative burden,,0,0,
152,it is meant to keep non citizens from voting but ends up preventing many citizens from voting,opponent save act - other valid,0,0,0,
153,it is meant to keep non citizens from voting but ends up preventing many citizens from voting,opponent save act - invalid,0,0,0,
154,it prevents non citizens to vote and there are criminal penalties who allow this.,proponent save act - election integrity,0,1,1,
155,it prevents non citizens to vote and there are criminal penalties who allow this.,proponent save act - accountability,0,0,0,
156,it prevents non citizens to vote and there are criminal penalties who allow this.,proponent save act - public confidence in elections,0,0,0,
157,it prevents non citizens to vote and there are criminal penalties who allow this.,proponent save act - other valid,0,0,1,
158,it prevents non citizens to vote and there are criminal penalties who allow this.,proponent save act - invalid,0,0,0,
159,it prevents non citizens to vote and there are criminal penalties who allow this.,opponent save act - voting disenfranchisement,0,0,0,
160,it prevents non citizens to vote and there are criminal penalties who allow this.,opponent save act - lack of serious problem,0,0,0,
161,it prevents non citizens to vote and there are criminal penalties who allow this.,opponent save act - unequal burden,0,0,0,
162,it prevents non citizens to vote and there are criminal penalties who allow this.,opponent save act - administrative burden,0,0,0,
163,it prevents non citizens to vote and there are criminal penalties who allow this.,opponent save act - other valid,0,0,0,
164,it prevents non citizens to vote and there are criminal penalties who allow this.,opponent save act - invalid,0,0,0,
165,it requires real id's in order to vote.,proponent save act - election integrity,0,0,0,
166,it requires real id's in order to vote.,proponent save act - accountability,1,0,1,
167,it requires real id's in order to vote.,proponent save act - public confidence in elections,0,0,0,
168,it requires real id's in order to vote.,proponent save act - other valid,0,0,0,
169,it requires real id's in order to vote.,proponent save act - invalid,0,0,0,
170,it requires real id's in order to vote.,opponent save act - voting disenfranchisement,0,0,0,
171,it requires real id's in order to vote.,opponent save act - lack of serious problem,0,0,0,
172,it requires real id's in order to vote.,opponent save act - unequal burden,0,0,0,
173,it requires real id's in order to vote.,opponent save act - administrative burden,0,0,0,
174,it requires real id's in order to vote.,opponent save act - other valid,0,0,0,
175,it requires real id's in order to vote.,opponent save act - invalid,0,0,0,
176,it was about voting with documents,proponent save act - election integrity,0,0,0,
177,it was about voting with documents,proponent save act - accountability,1,0,1,
178,it was about voting with documents,proponent save act - public confidence in elections,0,0,0,
179,it was about voting with documents,proponent save act - other valid,0,0,0,
180,it was about voting with documents,proponent save act - invalid,0,0,0,
181,it was about voting with documents,opponent save act - voting disenfranchisement,0,0,0,
182,it was about voting with documents,opponent save act - lack of serious problem,0,0,0,
183,it was about voting with documents,opponent save act - unequal burden,0,0,0,
184,it was about voting with documents,opponent save act - administrative burden,0,0,0,
185,it was about voting with documents,opponent save act - other valid,0,0,0,
186,it was about voting with documents,opponent save act - invalid,0,0,0,
187,it will require certain identification to verify a us citizen to try to prevent non-citizen voting b,proponent save act - election integrity,1,1,1,
188,it will require certain identification to verify a us citizen to try to prevent non-citizen voting b,proponent save act - accountability,1,1,1,
189,it will require certain identification to verify a us citizen to try to prevent non-citizen voting b,proponent save act - public confidence in elections,0,0,0,
190,it will require certain identification to verify a us citizen to try to prevent non-citizen voting b,proponent save act - other valid,0,0,0,
191,it will require certain identification to verify a us citizen to try to prevent non-citizen voting b,proponent save act - invalid,0,0,0,
192,it will require certain identification to verify a us citizen to try to prevent non-citizen voting b,opponent save act - voting disenfranchisement,1,1,1,
