Participant ID,Now that you have learned about the Save Act summarize the key arguments from the proponents and opponents of the topic.,Proponent SAVE Act - Election Integrity,Proponent SAVE Act - Accountability,Proponent SAVE Act - Public Confidence in Elections,Proponent SAVE Act - Other valid,Proponent SAVE Act - Other invalid,Opponent SAVE Act - Voting disenfranchisement,Opponent SAVE Act - Lack of Serious Problem,Opponent SAVE Act - Unequal Burden,Opponent SAVE Act - Administrative Burden,Opponent SAVE Act - Other Valid,Opponent SAVE Act - Invalid
29457,election integrity public confidence,0,0,0,0,0,0,0,0,0,0,0
29280,The proponents of the SAVE Act want laws passed to require proof of identity. Forcing proof of identity would theoretically cut down on fraudulent votes. Opponents say that the SAVE Act will only suppress legal votes from voters who don't have the time to get their information and or documentation updated.,1,1,0,0,0,1,0,1,1,0,0
29346,"Supporters of the SAVE Act say it protects elections by making sure only U.S. citizens can vote. They believe it will boost trust and stop voter fraud. Opponents argue it targets a problem that barely exists and could block millions of eligible voters. They say it unfairly burdens low-income people, women, and election workers.",1,0,1,0,0,1,1,1,1,0,0
29422,Proof of citizenship to vote. Opponents claim people lack ease of access to get required documents,0,1,0,0,0,0,0,1,0,0,0
29416,"they argue that requiring proof of citizenship is essential to protect election integrity and prevent voter fraud, They also believed that the law will strengthen public confidence in the voting system and ensure that only U.S. citizens can participate in federal elections.",1,0,1,0,0,0,0,0,0,0,0
29063,"The SAVE Act requires all voter registration applicants to provide documentary proof of U.S. citizenship. It is deeply rooted in voter fraud and noncitizens from voting in elections. About 9% of voting age Americans can be affected by this. Some worry that the standards are too vague, which will result in more problems.",0,0,1,1,1,1,0,0,0,0,0
29192,"• Proponents: Focus on security, integrity, and preventing fraud.
 • Opponents: Focus on access, fairness, and protecting voter participation.
 
 The SAVE Act debate ultimately reflects a clash between two priorities: ensuring election security versus preserving voter accessibility.",1,0,0,0,0,1,0,0,0,0,0
29429,"Proponents of the SAVE act are convinced that noncitizen voters are skewing our election results. Due to this, extra documentation is now required for anyone who tries to vote in an attempt to 'crack down' on 'illegal immigrants' voting in elections. 
 
 Opponents of the SAVE act have reasonably pointed out that there are already multiple safeguards to only allow citizens to participate in elections. They've even gone to show that the safeguards we have in place are working, since there's an estimated 0.0001% of our votes cast by noncitizens. This is not an actual issue that we're facing, it's just another way to impose control, and restrict immigrants & women.",0,0,0,0,0,1,1,0,0,1,0
29414,Proponents want U.S. voters to provide documents proving they are legal citizens when voting.,0,0,0,0,0,0,0,0,0,0,0
29344,the loop hole on voting,0,0,0,0,0,0,0,0,0,0,0
